,PLAYER,POS_CFB,YEAR_RECRUITED,RNK_RECRUITED,STAR,247_SCORE,COLLEGE_CFB,HOME_CITY,HOME_STATE,LAT,LNG,YEAR_DRAFTED,DRAFT_RND,DRAFT_PICK,NFL_TEAM,POS_NFL,COLLEGE_NFL
821,Brandon Boykin,CB,2008,252,4,0.902,Georgia,Fayetteville,GA,33.4487257,-84.4549262,2012,4,123,PHI,DB,Georgia
822,Roberto Aguayo,K,2012,791,3,0.8561,Florida State,Groveland,FL,28.5580546,-81.8511889,2016,2,59,TAM,K,Florida State
823,Markelle Martin,S,2008,260,4,0.9005,Oklahoma State,Wichita Falls,TX,33.9137085,-98.4933873,2012,6,190,TEN,DB,Oklahoma State
824,Jarius Wright,WR,2008,262,4,0.8995,Arkansas,Warren,AR,33.6126086,-92.0645831,2012,4,118,MIN,WR,Arkansas
825,Greg Childs,WR,2008,523,3,0.8684,Arkansas,Warren,AR,33.6126086,-92.0645831,2012,4,134,MIN,WR,Arkansas
826,Chris Gragg,TE,2008,1227,3,0.8111,Arkansas,Warren,AR,33.6126086,-92.0645831,2013,7,222,BUF,TE,Arkansas
827,Jeremy Ebert,ATH,2008,1119,3,0.8212,Northwestern,Hilliard,OH,40.033814,-83.1596108,2012,7,235,NWE,WR,Northwestern
828,Vince Williams,ILB,2008,269,4,0.8981,Florida State,Davenport,FL,28.1614046,-81.6017417,2013,6,206,PIT,LB,Florida State
829,Mike James,RB,2009,231,4,0.9065,Miami,Davenport,FL,28.1614046,-81.6017417,2013,6,189,TAM,RB,Miami
830,Karlos Williams,S,2011,4,5,0.9977,Florida State,Davenport,FL,28.1614046,-81.6017417,2015,5,155,BUF,RB,Florida State
831,Nick Moody,S,2008,284,4,0.8955,Florida State,Wyncote,PA,40.0908996,-75.14624021,2013,6,180,SFO,LB,Florida State
832,Brian Schwenke,OG,2009,537,3,0.8715,California,Oceanside,CA,33.1958696,-117.3794834,2013,4,107,TEN,C,California
833,Dont'a Hightower,OLB,2008,303,4,0.8938,Alabama,Lewisburg,TN,35.4492404,-86.7888887,2012,1,25,NWE,LB,Alabama
